track,subject,workload_category,treatment,paradigm,rep,kind,ok,error,cold_match,steady_match,cold_match_eff,steady_match_eff,match_source,passed,passed_cold_only,peak_memory_mb,steady_requests,steady_rps,load_ok,cpu_sut_0_7_pct,cpu_loadgen_8_15_pct,steady_j_per_request,steady_subres,total_duration_s,total_energy_sut_j,provisioning_duration_s,provisioning_energy_pkg0_eb_j,provisioning_energy_pkg0_sysfs_j,provisioning_energy_pkg1_j,provisioning_energy_node_j,provisioning_power_pkg0_w,cold_start_duration_s,cold_start_energy_pkg0_eb_j,cold_start_energy_pkg0_sysfs_j,cold_start_energy_pkg1_j,cold_start_energy_node_j,cold_start_power_pkg0_w,steady_state_duration_s,steady_state_energy_pkg0_eb_j,steady_state_energy_pkg0_sysfs_j,steady_state_energy_pkg1_j,steady_state_energy_node_j,steady_state_power_pkg0_w,provisioning_energy_sut_j,cold_start_energy_sut_j,steady_state_energy_sut_j,provisioning_power_sut_w,cold_start_power_sut_w,steady_state_power_sut_w
single,alpine,serverless-base,baseline,control,0,oneshot,True,,True,True,True,True,recorded,True,True,4.80078125,,,,12.8,1.3,,False,1.4571259021759033,42.0738525390625,0.23758220672607422,5.72412109375,5.456894999999999,4.412831,9.869726,24.093223026376528,,,,,,,1.219543695449829,36.3497314453125,36.295439,23.225526000000002,59.520965000000004,29.806009887907205,5.72412109375,,36.3497314453125,24.093223026376528,,29.806009887907205
single,alpine,serverless-base,baseline,control,1,oneshot,True,,True,True,True,True,recorded,True,True,,,,,13.0,1.5,,False,1.4196157455444336,37.8167724609375,0.2347104549407959,4.9495849609375,4.753283000000001,3.88384,8.637123,21.088046385432634,,,,,,,1.1849052906036377,32.8671875,36.220304999999996,22.904298999999998,59.12460399999999,27.73824014513105,4.9495849609375,,32.8671875,21.088046385432634,,27.73824014513105
single,alpine,serverless-base,baseline,control,10,oneshot,True,,True,True,True,True,recorded,True,True,4.89453125,,,,12.9,1.1,,False,1.5017845630645752,41.34716796875,0.30910682678222656,5.24151611328125,7.67686,5.601426,13.278286,16.95697299165129,,,,,,,1.1926777362823486,36.10565185546875,33.572974,20.824837,54.397811000000004,30.272764181892363,5.24151611328125,,36.10565185546875,16.95697299165129,,30.272764181892363
single,alpine,serverless-base,baseline,control,11,oneshot,True,,True,True,True,True,recorded,True,True,4.88671875,,,,13.0,1.3,,False,1.4527077674865723,41.3961181640625,0.24205446243286133,5.07012939453125,4.894946000000001,3.5988670000000003,8.493813000000001,20.946233932528934,,,,,,,1.210653305053711,36.32598876953125,36.271696999999996,22.708132,58.979828999999995,30.005277826354785,5.07012939453125,,36.32598876953125,20.946233932528934,,30.005277826354785
single,alpine,serverless-base,baseline,control,12,oneshot,True,,True,True,True,True,recorded,True,True,5.28125,,,,12.9,0.9,,False,1.4517481327056885,41.31683349609375,0.23948431015014648,5.1177978515625,4.973437,3.8603410000000005,8.833778,21.37007576134678,,,,,,,1.212263822555542,36.19903564453125,36.111358,23.067751,59.179109000000004,29.86069118867294,5.1177978515625,,36.19903564453125,21.37007576134678,,29.86069118867294
single,alpine,serverless-base,baseline,control,13,oneshot,True,,True,True,True,True,recorded,True,True,5.0,,,,12.7,1.3,,False,1.4511969089508057,41.7139892578125,0.25597071647644043,5.0760498046875,4.8990350000000005,3.544607,8.443642,19.83058794600319,,,,,,,1.1952261924743652,36.637939453125,36.581571000000004,22.919436,59.501007,30.653561379270723,5.0760498046875,,36.637939453125,19.83058794600319,,30.653561379270723
single,alpine,serverless-base,baseline,control,14,oneshot,True,,True,True,True,True,recorded,True,True,5.35546875,,,,12.5,1.4,,False,1.4442243576049805,43.00592041015625,0.2359781265258789,5.6827392578125,5.492051,4.738452,10.230502999999999,24.081635622229136,,,,,,,1.2082462310791016,37.32318115234375,37.349329999999995,23.391419,60.740748999999994,30.8903766403723,5.6827392578125,,37.32318115234375,24.081635622229136,,30.8903766403723
single,alpine,serverless-base,baseline,control,15,oneshot,True,,True,True,True,True,recorded,True,True,5.03125,,,,12.8,1.1,,False,1.465956211090088,40.692626953125,0.24072837829589844,5.10723876953125,4.9036740000000005,3.564505,8.468179000000001,21.21577358550364,,,,,,,1.2252278327941895,35.58538818359375,35.419953,22.830752999999998,58.250705999999994,29.04389471992291,5.10723876953125,,35.58538818359375,21.21577358550364,,29.04389471992291
single,alpine,serverless-base,baseline,control,16,oneshot,True,,True,True,True,True,recorded,True,True,5.18359375,,,,13.0,1.4,,False,1.4505741596221924,41.37078857421875,0.2391338348388672,5.3001708984375,5.198289999999999,4.099721,9.298010999999999,22.16403589232303,,,,,,,1.2114403247833252,36.07061767578125,36.022247,22.555057,58.577304,29.77498514607621,5.3001708984375,,36.07061767578125,22.16403589232303,,29.77498514607621
single,alpine,serverless-base,baseline,control,17,oneshot,True,,True,True,True,True,recorded,True,True,5.421875,,,,12.8,1.2,,False,1.430746078491211,38.95428466796875,0.24324488639831543,5.53863525390625,5.482591,4.434986,9.917577000000001,22.769791118390422,,,,,,,1.1875011920928955,33.4156494140625,36.750088999999996,22.983705999999998,59.73379499999999,28.139465995120002,5.53863525390625,,33.4156494140625,22.769791118390422,,28.139465995120002
single,alpine,serverless-base,baseline,control,18,oneshot,True,,True,True,True,True,recorded,True,True,5.2421875,,,,12.8,1.3,,False,1.4506494998931885,41.7403564453125,0.24399924278259277,5.175048828125,5.092089,3.9572040000000004,9.049293,21.20928232853596,,,,,,,1.2066502571105957,36.5653076171875,36.517483999999996,23.895446,60.412929999999996,30.30315321420936,5.175048828125,,36.5653076171875,21.20928232853596,,30.30315321420936
single,alpine,serverless-base,baseline,control,19,oneshot,True,,True,True,True,True,recorded,True,True,5.40625,,,,12.8,1.4,,False,1.4252080917358398,39.040283203125,0.23777246475219727,5.53826904296875,5.433763,4.380971,9.814734,23.292306149665595,,,,,,,1.1874356269836426,33.50201416015625,36.839078,23.110231,59.949309,28.21375188586771,5.53826904296875,,33.50201416015625,23.292306149665595,,28.21375188586771
single,alpine,serverless-base,baseline,control,2,oneshot,True,,True,True,True,True,recorded,True,True,6.01171875,,,,12.7,1.3,,False,1.4284772872924805,37.05828857421875,0.25612854957580566,4.849609375,4.630419999999999,3.7799589999999994,8.410378999999999,18.93427883393637,,,,,,,1.1723487377166748,32.20867919921875,35.276765,22.587833,57.864598,27.47363319719181,4.849609375,,32.20867919921875,18.93427883393637,,27.47363319719181
single,alpine,serverless-base,baseline,control,3,oneshot,True,,True,True,True,True,recorded,True,True,5.03515625,,,,12.8,1.4,,False,1.420701503753662,36.0918512265625,0.23181986808776855,5.88616943359375,2.8275689999999996,2.2625669999999998,5.090135999999999,25.39113442755134,,,,,,,1.1888816356658936,33.2642822265625,36.588102,23.079896999999995,59.667998999999995,27.979473505729736,2.8275689999999996,,33.2642822265625,12.197267746392916,,27.979473505729736
single,alpine,serverless-base,baseline,control,4,oneshot,True,,True,True,True,True,recorded,True,True,5.1328125,,,,12.8,1.0,,False,1.4345059394836426,41.91143798828125,0.23366475105285645,5.2861328125,5.189379,3.9357810000000004,9.125160000000001,22.622722463193618,,,,,,,1.2008411884307861,36.62530517578125,36.670438,22.967592,59.63803,30.49970764547293,5.2861328125,,36.62530517578125,22.622722463193618,,30.49970764547293
single,alpine,serverless-base,baseline,control,5,oneshot,True,,True,True,True,True,recorded,True,True,4.90234375,,,,13.0,1.1,,False,1.3930726051330566,38.87188720703125,0.23382878303527832,5.148193359375,4.993944,3.804067,8.798010999999999,22.016936035621754,,,,,,,1.1592438220977783,33.72369384765625,33.799535,21.039496999999997,54.839031999999996,29.09111371120317,5.148193359375,,33.72369384765625,22.016936035621754,,29.09111371120317
single,alpine,serverless-base,baseline,control,6,oneshot,True,,True,True,True,True,recorded,True,True,5.1875,,,,13.0,2.1,,False,1.4217784404754639,38.64886474609375,0.2301347255706787,2.782470703125,5.480699,4.28722,9.767919,12.090616469223159,,,,,,,1.1916437149047852,35.86639404296875,36.552152,22.750125000000004,59.302277000000004,30.098253021738593,2.782470703125,,35.86639404296875,12.090616469223159,,30.098253021738593
single,alpine,serverless-base,baseline,control,7,oneshot,True,,True,True,True,True,recorded,True,True,5.61328125,,,,12.7,1.6,,False,1.4625160694122314,38.8707834375,0.26110172271728516,4.84161376953125,2.387385,1.8381910000000001,4.225576,18.543017331117483,,,,,,,1.2014143466949463,36.4833984375,36.409026,22.992556,59.401582,30.367040761469763,2.387385,,36.4833984375,9.14350535551619,,30.367040761469763
single,alpine,serverless-base,baseline,control,8,oneshot,True,,True,True,True,True,recorded,True,True,5.1171875,,,,12.9,1.0,,False,1.4701898097991943,41.0025634765625,0.2457561492919922,5.121337890625,4.953051000000001,3.460868,8.413919000000002,20.8391037431993,,,,,,,1.2244336605072021,35.8812255859375,35.783783,22.749209999999998,58.532993,29.304344321173165,5.121337890625,,35.8812255859375,20.8391037431993,,29.304344321173165
single,alpine,serverless-base,baseline,control,9,oneshot,True,,True,True,True,True,recorded,True,True,,,,,13.3,0.6,,False,1.4673621654510498,41.7235107421875,0.22766542434692383,5.64666748046875,5.554673,4.272816000000001,9.827489,24.8024815215866,,,,,,,1.239696741104126,36.07684326171875,36.020354999999995,22.633853000000002,58.654208,29.101345567454825,5.64666748046875,,36.07684326171875,24.8024815215866,,29.101345567454825
single,alpine,serverless-base,blafs,file-removal,0,oneshot,True,,True,True,True,True,recorded,True,True,5.703125,,,,12.8,1.3,,False,1.4361462593078613,41.5615234375,0.24092555046081543,5.11322021484375,4.957568000000001,4.382008,9.339576000000001,21.22323765604667,,,,,,,1.195220708847046,36.44830322265625,36.48226700000001,22.815615,59.29788200000001,30.49503991427293,5.11322021484375,,36.44830322265625,21.22323765604667,,30.49503991427293
single,alpine,serverless-base,blafs,file-removal,1,oneshot,True,,True,True,True,True,recorded,True,True,4.96484375,,,,13.0,1.2,,False,1.4520318508148193,41.1429443359375,0.2592885494232178,4.957763671875,4.7606079999999995,3.613272,8.37388,19.120642554032745,,,,,,,1.1927433013916016,36.1851806640625,36.109832,22.779483,58.889314999999996,30.337777308700375,4.957763671875,,36.1851806640625,19.120642554032745,,30.337777308700375
